2025-10-24 15:53:23 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-24 15:53:57 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-25 11:05:50 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-25 11:42:30 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:02:02 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:02:02 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 13:02:04 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2026-01-05 13:03:46 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (No ports detected) on No ports detected @ 57600 baud - Color: #FF0000
2026-01-05 13:11:07 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:11:07 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 13:11:09 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2026-01-05 13:11:17 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (No ports detected) on No ports detected @ 57600 baud - Color: #FF0000
2026-01-05 13:12:01 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:12:02 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 13:12:03 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2026-01-05 13:12:09 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (No ports detected) on No ports detected @ 57600 baud - Color: #FF0000
2026-01-05 13:12:09 | INFO     | MainThread | drone_manager        | connect_drone   | Connecting drone: drone_1
2026-01-05 13:12:25 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:12:25 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 13:12:27 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2026-01-05 13:12:52 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (No ports detected) on No ports detected @ 57600 baud - Color: #FF0000
2026-01-05 13:12:52 | INFO     | MainThread | drone_manager        | connect_drone   | Connecting drone: drone_1
2026-01-05 13:12:53 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 13:12:53 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-05 13:12:55 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2026-01-05 13:13:00 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (No ports detected) on No ports detected @ 57600 baud - Color: #FF0000
2026-01-05 13:13:00 | INFO     | MainThread | drone_manager        | connect_drone   | Connecting drone: drone_1
2026-01-05 13:13:10 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-05 14:59:21 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-05 14:59:21 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
